BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH
101,1692.572266,537.331543,651.6173706,197.8625031
102,1738.934937,512.4258423,648.1289063,204.9605713
103,1782.243286,487.25354,644.6019898,212.4884491
104,1824.748169,462.4299927,651.5180054,199.1408539
105,1868.5354,443.595459,657.7936401,185.0066528
106,1909.030273,412.3000488,653.7672119,193.0838165
107,1954.685181,384.528595,649.6762085,202.8074188
108,2000.908081,362.266571,665.0411377,172.1111603
109,2041.51355,334.4104309,678.5322266,144.8917084
110,1717.152222,579.7543335,631.9968262,236.1144562
111,1764.445435,553.8765869,627.3972168,247.6969757
112,1806.586548,530.6551514,623.6082153,253.3943329
113,1852.778198,512.9594116,633.5385132,234.5001221
114,1892.931396,478.8019104,640.8370361,219.7344666
115,1941.258057,457.3512573,637.2341919,226.8521881
116,1980.773071,427.4130554,633.7536011,234.5811768
117,2022.306152,404.2469177,645.0975342,210.9698029
118,2069.329346,384.5802612,660.0844727,181.8401032
119,1700.324097,648.0751343,609.9469605,280.3120117
121,1788.3927,593.998169,610.5895996,279.2893372
122,1829.82373,574.4108887,608.6035156,283.0647278
123,1880.397827,544.7766113,617.0380249,267.3189392
124,1916.339111,524.0825806,625.1223755,249.9111939
125,1964.94519,495.3910828,622.0938721,257.414032
126,2005.390503,472.2170105,618.5070801,263.6611939
127,2044.794312,452.444519,625.8104858,248.7311249
128,2092.30249,428.8860779,636.282959,228.2315369
129,1725.28894,691.1711426,594.6729126,311.7122803
130,1768.028442,667.3324585,603.4810181,293.618042
131,1813.579346,641.0870361,601.2963867,297.7766724
132,1857.295898,612.2507324,599.8439941,301.176178
135,1990.125977,544.7596436,612.954834,275.5713196
136,2032.088013,514.5982666,610.3032837,280.0634766
137,2074.817871,491.5849304,616.541626,268.3430176
138,2120.136719,463.9544067,622.8105469,255.9659119
139,1709.04187,761.3684082,587.9987793,324.5365295
140,1753.855713,732.824585,590.6157227,320.5228272
141,1795.574951,707.6426392,593.2547607,315.9319153
142,1839.129395,683.4605713,591.6611939,317.9957275
143,1879.123779,657.9349365,589.3375855,321.9077148
144,1925.656006,636.1243897,597.855896,305.6181335
145,1970.636475,613.2028809,605.2503662,291.432312
146,2009.214722,588.6936035,604.2143555,293.0446167
147,2049.852295,561.5811157,603.1802979,295.5004273
148,2099.168701,533.4689331,608.6516113,284.8540955
149,2142.021484,505.6286621,614.133606,273.3252258
150,1732.490356,801.5736694,577.1742554,347.7007141
151,1779.168091,777.0631104,579.6685181,341.3571472
152,1819.241699,750.942749,582.800354,335.5863648
153,1862.011475,722.2320557,582.9855957,334.1418762
154,1908.504395,703.7928467,583.4873047,335.0673218
155,1952.225098,673.9385376,589.9380493,321.0726318
156,1995.030396,655.4888916,597.7545776,306.3223267
157,2035.075073,624.9478149,597.6190796,305.0392151
158,2078.467529,598.8151856,598.0720825,304.9164429
159,2122.202393,579.642334,603.4656982,295.3926392
160,2167.820557,551.9279175,608.2972412,284.7781067
161,1757.776001,841.7240601,566.7681885,368.7306519
162,1798.699341,820.274353,570.9472046,359.8344421
163,1841.137695,794.7619019,574.2852783,353.0923157
164,1888.328735,770.2129517,576.7977295,347.3931274
165,1931.464722,741.0494385,579.1620483,341.7536621
166,1972.528931,716.0047607,586.3719482,328.3117371
167,2014.668823,693.3427734,594.0806274,313.8006592
168,2062.526123,668.0007324,593.0255127,315.5112
169,2107.199951,647.7606201,592.6046753,316.0673523
170,2143.300049,623.4640503,597.4257202,305.6686401
171,2188.810059,595.1566162,602.852417,296.5875244
172,1784.796143,888.5976563,557.1176148,387.8996887
173,1825.48645,863.6654663,562.7444458,375.3764954
174,1873.026123,839.0975952,567.5713501,366.3232422
175,1912.759155,815.2072754,571.6387329,356.9796143
176,1952.718506,792.8154907,575.8383789,348.3721314
177,2003.652588,763.3265991,582.3378296,337.5698547
178,2043.918457,740.3411255,587.6248169,325.0632629
179,2085.572266,717.0028076,586.1765747,328.1785278
180,2126.967041,686.7631836,585.7401733,330.9615784
181,2176.141357,662.3989868,589.6411133,321.575531
182,2216.362549,639.8133545,594.2436523,312.1166687
183,1809.397583,929.6552734,548.7373047,404.3658752
184,1851.90918,903.1303101,554.2888794,392.6980591
185,1897.270386,882.9210205,559.87854,380.6739197
186,1937.588989,854.833374,563.69104,372.7921143
187,1981.742676,831.2484741,567.5529175,365.3443604
188,2022.289795,810.7780151,575.3970337,351.0057678
189,2070.499756,783.3927612,582.5270996,335.4142151
190,2115.531006,749.6369629,580.0857544,340.4887695
191,2156.074707,729.1194458,577.7598877,345.0781555
192,2203.538086,707.7851563,583.0165405,335.2654724
193,2241.16333,681.6355591,588.2553101,325.3360291
194,1834.506958,974.3752441,541.2392578,417.7406006
196,1917.664551,923.534668,550.4105835,400.3816834
198,2010.552979,878.4346924,561.5371094,379.1419983
199,2052.591064,849.1873779,566.6055298,369.0093384
200,2091.200195,829.4348755,571.0568848,359.0544128
201,2141.118896,800.3283691,570.7027588,360.4465942
202,2178.188477,778.3825073,570.9298096,359.6760559
203,2221.731934,749.4420776,575.1947022,350.6771545
204,2266.609131,728.0976563,579.7761841,341.4084168
205,1903.553467,990.1079712,533.7728882,432.9320679
206,1945.151611,970.6587524,537.7805786,425.7337036
207,1987.63208,947.8617554,544.3934937,412.5575256
208,2033.963135,922.2200317,550.8491211,400.1578674
209,2079.37793,894.8988037,554.7020264,392.5781555
210,2116.313232,872.2489014,558.5991211,385.2802429
211,2158.770752,846.4663696,561.2872315,379.4085388
212,2204.348145,818.24823,564.0957031,373.8264465
213,2249.60083,796.3823853,565.6167603,371.1325989
214,2291.75415,765.6015015,567.3101196,367.6375427
215,1933.157227,1038.829468,532.7301636,436.8079529
216,1970.643921,1014.859985,534.7192993,430.9604797
217,2011.215088,991.2122192,538.6439819,424.9638062
218,2062.978027,964.9730225,541.9090576,417.7762451
219,2099.621826,938.2258911,548.0718384,404.2643433
220,2145.31543,913.4614258,554.4919434,392.4901123
221,2187.571777,884.4356079,555.8526611,389.2523804
222,2229.380859,859.2212524,557.8096314,384.6520386
224,2317.718262,811.0067749,557.6048584,386.9476929
225,1950.474121,1076.461182,532.2880859,436.9411011
226,1997.537354,1056.296997,533.9019775,433.6449585
228,2080.150879,1006.009644,537.5817261,426.9881287
229,2127.218506,982.8851318,544.7280273,411.227417
230,2169.189697,957.5427856,552.137207,396.1332703
231,2211.735352,933.5691528,552.1538086,397.6326294
232,2256.407959,908.4017334,552.3013306,397.5811157
233,2298.668701,879.6326904,550.8518066,400.4044495
234,2338.438721,857.8410645,550.1151123,400.7605286
235,2019.729858,1099.868896,532.4919434,437.4197388
236,2067.542725,1073.866333,533.6848145,433.5231628
237,2109.927246,1042.62146,536.0369263,430.0195007
238,2150.661621,1024.94043,542.1265869,415.8421021
239,2193.147705,998.6879273,548.9399414,403.242218
240,2234.0625,974.7191773,547.421936,406.8044128
241,2283.815186,949.2232666,546.0714722,409.2962952
242,2326.165283,922.6820068,545.5640259,409.7488098
243,2366.94873,897.600708,545.8897095,409.3327637
244,2042.831299,1142.860107,532.0285645,437.454773
245,2084.934326,1118.85144,535.0737915,431.3761292
246,2132.006592,1094.187988,537.090271,425.8695984
247,2175.514648,1064.304199,542.5547485,417.2121887
248,2216.792969,1044.687988,547.0640259,406.9914551
250,2308.560303,992.2858276,540.4172363,419.7450562
251,2348.936523,965.4646606,541.6381836,418.9368286
252,2391.459229,943.7025147,542.7750244,415.6076355
253,2067.724121,1189.137573,531.5911865,438.7322388
254,2112.613525,1164.134644,533.2948608,433.7557373
255,2154.967529,1136.762573,538.1235352,425.2678223
256,2199.950684,1107.467529,541.5108643,417.8152771
258,2286.396973,1058.877075,539.7075806,421.6932678
260,2372.642334,1009.68158,539.8416748,421.7095032
261,2415.652832,982.31604,543.2763062,414.5905762
262,2224.787109,1157.770508,543.0024414,415.5341187
263,2267.605225,1130.136353,543.2781982,413.5259094
264,2314.704834,1102.8573,534.5254517,432.5832214
266,2397.868652,1052.258179,535.7468872,430.0265198
267,2441.832275,1033.530273,544.6536865,411.4671936
268,2423.842285,1096.096436,527.9094849,445.6816711
269,2466.167236,1071.304443,533.4615479,435.0989685
